AAA	Ansett Australia - Australia	ANSETT
AAB	Abelag Aviation - Belgium	ABG
AAC	Army Air Corps - United Kingdom	ARMYAIR
AAD	Aero Aviation Centre Ltd. - Canada	SUNRISE
AAE	Express Air, Inc. - United States of America	ARIZONA
AAF	Aigle Azur - France	AIGLE AZUR
AAG	Air Atlantique - United Kingdom	ATLANTIC
AAH	Aloha Airlines - United States	ALOHA
AAI	Air Aurora - United States	BOREALIS
AAJ	Air Alma - Canada	AIR ALMA
AAK	Alaska Island Air - United States	ALASKA ISLAND
AAL	American Airlines - United States	AMERICAN
AAM	Aviation Management Corporation - United States	AM CORP
AAO	Atlantis Airlines (USA) - United States	ATLANTIS AIR
AAP	Aerovista Airlines - Kyrgyzstan	AEROVISTA GROUP
AAQ	Copterline - Finland	COPTERLINE
AAR	Asiana Airlines - Republic of Korea	ASIANA
AAS	Askari Aviation - Pakistan	AL-AAS
AAT	Air Central Asia - KG	UNKNOWN
AAU	Australia Asia Airlines Limited - Australia	AUSTASIA
AAV	Almeria Airlines Virtual - Netherlands	AAV
AAW	Afriqiyah Airways - Libya	AFRIQIYAH
AAX	Afric'air Express - Ivory Coast	AFREX
AAY	Allegiant Air - United States	ALLEGIANT
AAZ	Angus Aviation - Canada	ANGUS
ABA	Artem-Avia - Ukraine	ARTEM-AVIA
ABB	African Business and Transportations - Democratic Republic of the Congo	AFRICAN BUSINESS-
ABD	Air Atlanta Icelandic - Iceland	ATLANTA
ABE	Aban Air - Iran	UNKNOWN
ABF	Aerial Oy - Finland	SKYWINGS
ABG	Abakan-Avia - Russia	ABAKAN-AVIA
ABH	Hokuriki-Koukuu Company - Japan	UNKNOWN
ABI	Alba-Air Aviacion - ES	AIRALBACETE
ABJ	Abaetï¿½ Linhas Aï¿½reas - Brazil	UNKNOWN
ABK	Alberta Citylink - Canada	ALBERTA CITYLINK
ABL	Air BC - Canada	AIRCOACH
ABM	Aero Albatros - Spain	ALBATROS ESPANA
ABN	Air Fret Senegal - Senegal	UNKNOWN
ABO	APSA Colombia - Colombia	AEROEXPRESO
ABP	Aba Air - Czech Republic	BAIR
ABQ	Airblue - Pakistan	PAKBLUE
ABR	Air Contractors - Ireland	CONTRACT
ABS	Transwest Air - Canada	ATHABASKA
ABT	Air Brousse - Canada	AIR BROUSSE
ABU	Aerovias Bueno - Colombia	AEROBUENO
ABV	Antrak Air - Ghana	ANTRAK
ABW	AirBridge Cargo - Russia	AIRBRIDGE CARGO
ABX	ABX Air - United States	ABEX
ABY	Air Arabia - United Arab Emirates	ARABIA
ABZ	ATA Brasil - Brazil	ATA-BRAZIL
ACA	Air Canada - Canada	AIR CANADA
ACB	African Cargo Services Limited - Kenya	AFRICARGO
ACC	Avcard Services - United Kingdom	UNKNOWN
ACD	Academy Airlines - United States	ACADEMY
ACE	Race Cargo Airlines - Ghana	Fastcargo
ACF	AventureClub Airlines (VA) - France	AVENTURECLUB
ACG	Air Partner - United Kingdom	AIR PARTNER
ACH	Air Child - Spain	AIR CHILD
ACI	Air Caledonie International - France	AIRCALIN
ACJ	Air Corporate - FR	FLY BUSINESS
ACK	Nantucket Airlines - United States	ACK AIR
ACL	Itali Airlines - Italy	ITALI
ACM	Air Caledonia - Canada	WEST CAL
ACN	Central American Airlines - Nicaragua	AEROCENTRO
ACO	Aero Comondu - Mexico	AERO COMONDU
ACP	Astral Aviation - Kenya	ASTRAL CARGO
ACQ	Nuevo Continente - Peru	AERO CONTINENTE
ACR	Aerocenter, Escuela de Formacion de Pioltos Privados de Avion - Spain	AEROCENTER
ACS	Air Cess - Liberia	UNKNOWN
ACT	Flight Line, Inc. - United States of America	AMERICAN CHECK
ACU	Air Cargo Transportation System - Kenya	AFRISPIRIT
ACV	Air Charter Service - United Kingdom	UNKNOWN
ACW	Royal Air Force - United Kingdom	AIR CADET
ACX	Air Charters - Canada	PARAIR
ACY	Atlas Cargo Lines - Morocco	ATLAS CARGOLINES
ADA	Airservices Australia - Australia	AUSCAL
ADB	Antonov Airlines - Ukraine	ANTONOV BUREAU
ADC	Air Atlantic Dominicana - Dominican Republic	ATLAN-DOMINICAN
ADD	Advanced Air Co. - Japan	UNKNOWN
ADE	Ada Air - Albania	ADA AIR
ADF	Ade, Aviacion Deportiva, S.L. - Spain	ADE AVIACION
ADG	Aerea Flying Training Organization - Spain	AEREA TRAINING
ADH	Air One - Italy	HERON
ADI	Audeli Air - Spain	AUDELI
ADJ	Abicar - Ivory Coast	ABICAR
ADK	ADC Airlines - Nigeria	ADCO
ADL	Aero Dynamics - United Kingdom	COTSWOLD
ADM	Aerolineas Dominicanas - Dominican Republic	DOMINAIR
ADN	Aerodienst GmbH - Germany	AERODIENST
ADO	Hokkaido International Airlines - Japan	AIR DO
ADP	Aerodiplomatic - Mexico	AERODIPLOMATIC
ADQ	Avion Taxi - Canada	AIR DATA
ADR	Adria Airways - Slovenia	ADRIA
ADS	Aviones de Sonora - Mexico	SONORAV
ADT	Air Dorval - Canada	AIR DORVAL
ADU	Airdeal Oy - Finland	AIRDEAL
ADV	Advance Air Charters - Canada	ADVANCE
ADW	Air Andaman - Thailand	AIR ANDAMAN
ADX	Anderson Aviation - United States	ANDAX
ADY	Aerodyne - United States	AERODYNE
ADZ	Aviodelta - BG	MIGRATOR
AEA	Air Europa - Spain	EUROPA
AEB	Aero Benin - Benin	AEROBEN
AEC	Aerocesar, Aerovias Del Cesar - Colombia	AEROCESAR
AED	Aerotrans Airlines - Russia	UNKNOWN
AEE	Aegean Airlines - Greece	AEGEAN
AEF	AeroLoyd	AeroLoyd
AEG	Aerofumigaciones Sam - Chile	FUMIGACIONES SAM
AEH	Aviaexpress - Hungary	Avex
AEI	Aeroexpreso Interamericano - Colombia	INTERAM
AEJ	Air Express - Tanzania	KHAKI EXPRESS
AEK	Aerocon - Bolivia	AEROCON
AEL	Air Europe - Italy	AIR EUROPE
AEM	Aero Madrid - Spain	AEROMADRID
AEN	Aeroenlaces Nacionales - Mexico	UNKNOWN
AEO	Aeolos	Aeolos
AEP	Aerotec - Spain	AEROTEC
AEQ	Air Express - Sweden	LUNA
AER	Alaska Central Express - United States	ACE AIR
AES	ACES Colombia - Colombia	ACES
AET	Aeronautical Radio of Thailand - Thailand	AEROTHAI
AEU	Astraeus - United Kingdom	FLYSTAR
AEV	Aeroventas - Mexico	AEROVENTAS
AEW	Aerosvit Airlines - Ukraine	AEROSVIT
AEX	Airway Express - United States	AVCO
AEY	Air Italy - Italy	AIR ITALY
AEZ	Aerial Transit Company - United States	AERIAL TRANZ
AF	Air France - France	AIR FRANCE
AFA	Alpha Air - Czech	BLUE ALFA
AFB	American Falcon - Argentina	AMERICAN FALCON
AFC	African West Air - Senegal	AFRICAN WEST
AFD	Panorama Flight Service - United States	AIRFED
AFE	Airfast Indonesia - Indonesia	AIRFAST
AFF	Afric'Air Charter, S.A. - Benin	BENIN-CHARTERS
AFG	Ariana Afghan Airlines - Afghanistan	ARIANA
AFH	Air Fecteau - Canada	FECTO
AFI	Africaone - Uganda	AFRICAWORLD
AFJ	Alliance - Uganda	JAMBO
AFK	Africa Air Links - Sierra Leone	AFRICA LINKS
AFL	Aeroflot Russian Airlines - Russia	AEROFLOT
AFM	Air Four - IT	UNKNOWN
AFN	African International Airlines - Lesotho	SIMBA
AFO	Aero Empresa Mexicana - Mexico	AERO EMPRESA
AFP	Portuguese Air Force - Portugal	PORTUGUESE AIR FORCE
AFQ	Alba Servizi Aerotrasporti - Italy	ALBA
AFR	Air France - France	AIRFRANS
AFS	Air Data - United Kingdom	UNKNOWN
AFU	Afrinat International Airlines - Gambia	UNKNOWN
AFV	Air Afrique Vacancies - Ivory Coast	AFRIQUE VACANCE
AFW	Afrique Regional Airways - Ivory Coast	AFRAIR
AFX	Airfreight Express - United Kingdom	UNKNOWN
AFY	Africa Chartered Services - Nigeria	AFRICA CHARTERED
AFZ	Africa Freight Services - Zambia	AFREIGHT
AGA	Aeronaves Del Centro - Venezuela	UNKNOWN
AGB	Air Service Gabon - Gabon	UNKNOWN
AGC	Arab Agricultural Aviation Company - Egypt	AGRICO
AGD	Agderfly A/S - Norway	AGDERFLY
AGE	Servicios Aereos de Los Angeles - Mexico	AEROANGEL
AGF	Atlantic Gulf Airlines - United States	ATLANTIC GULF
AGG	Algoma Airways - Canada	ALGOMA
AGH	Altagna - France	ALTAGNA
AGI	Aero Transportes Los Angeles de America - MX	ANGELES AMERICA
AGJ	AirGreece	AirGreece
AGK	TAG Aviation Ukraine Ltd. - Ukraine	TAG UKRAINE
AGL	Air Galaxy - BD	GALAXY CARGO
AGM	Air Guam - United States	AIR GUAM
AGN	Air Gabon - Gabon	GOLF NOVEMBER
AGO	Angola Air Charter - Angola	ANGOLA CHARTER
AGP	AERFI Group - Ireland	AIR TARA
AGQ	Aerogala - Chile	GALASERVICE
AGR	United States Department Of Agriculture - United States	AGRICULTURE
AGS	Air Gambia - The Gambia	ATAS
AGT	Amadeus Global Travel Distribution - Spain	AMADEUS
AGU	Angara Airlines - Russia	SARMA
AGV	Air Glaciers - Switzerland	AIR GLACIERS
AGW	Aero Gambia - Gambia	AERO GAMBIA
AGX	Aviogenex - Serbia	GENEX
AGY	Air Germany - Germany	AIR GERMANY
AGZ	Agrolet-Mci - Slovakia	AGROLET
AHA	Air Alpha Greenland - Denmark	AIR ALPHA
AHC	Azal Avia Cargo - Azerbaijan	AZALAVIACARGO
AHD	Czech Air Handling - Czech Republic	AIRHANDLING
AHE	Airport Helicopter Basel, Muller & Co. - Switzerland	AIRPORT HELICOPTER
AHF	Aspen Helicopters - United States	ASPEN
AHG	Aerochago Airlines - Dominican Republic	AEROCHAGO
AHH	Airplanes Holdings - Ireland	AIRHOLD
AHI	Servicios Aereos de Chihuahua Aerochisa - Mexico	AEROCHISA
AHK	Air Hong Kong - Hong Kong	AIR HONG KONG
AHM	Garrison Aviation - Canada	AIR HURON
AHN	Air Hungaria Ltd. - Hungary	AIR HUNGARIA
AHO	Air Holbaek I/S - Denmark	AIRDANE
